theme,rank,ticker,score
Robotics & AI,1,OEC,0.687
Robotics & AI,2,MSC,0.6333
Robotics & AI,3,CMCO,0.6151
Robotics & AI,4,NVEC,0.5933
Robotics & AI,5,SILC,0.5843
Robotics & AI,6,ELDN,0.5763
Robotics & AI,7,MX,0.5745
Robotics & AI,8,CVGI,0.5712
Robotics & AI,9,IIIN,0.5576
Robotics & AI,10,DQ,0.5447
Robotics & AI,11,GSIT,0.5191
Robotics & AI,12,NC,0.5123
Robotics & AI,13,NX,0.5084
Robotics & AI,14,HY,0.503
Robotics & AI,15,ATOM,0.4902
Robotics & AI,16,ONCY,0.49
Robotics & AI,17,TATT,0.4863
Robotics & AI,18,ASA,0.471
Robotics & AI,19,ERII,0.4642
Robotics & AI,20,MITK,0.4582
Robotics & AI,21,VREX,0.4578
Robotics & AI,22,JKS,0.4549
Robotics & AI,23,ALOT,0.4485
Robotics & AI,24,CSIQ,0.4404
Robotics & AI,25,PNRG,0.4315
Robotics & AI,26,PKOH,0.4292
Robotics & AI,27,KRO,0.4275
Robotics & AI,28,ASPN,0.4256
Robotics & AI,29,RELL,0.4246
Robotics & AI,30,HURC,0.4244
AI Infrastructure,1,HFBL,0.6497
AI Infrastructure,2,MX,0.6454
AI Infrastructure,3,QUIK,0.6285
AI Infrastructure,4,SLGL,0.6283
AI Infrastructure,5,CMTL,0.6181
AI Infrastructure,6,NVEC,0.5961
AI Infrastructure,7,VREX,0.5881
AI Infrastructure,8,ARL,0.5772
AI Infrastructure,9,QMCO,0.565
AI Infrastructure,10,ELTK,0.5567
AI Infrastructure,11,CERS,0.5492
AI Infrastructure,12,XMAX,0.5447
AI Infrastructure,13,RCMT,0.5189
AI Infrastructure,14,DLHC,0.5151
AI Infrastructure,15,ATOM,0.502
AI Infrastructure,16,MBOT,0.498
AI Infrastructure,17,LINK,0.4786
AI Infrastructure,18,AIOT,0.4763
AI Infrastructure,19,SILC,0.4739
AI Infrastructure,20,ULBI,0.4722
AI Infrastructure,21,NEWT,0.4681
AI Infrastructure,22,GSIT,0.4638
AI Infrastructure,23,MVIS,0.4633
AI Infrastructure,24,WFCF,0.4587
AI Infrastructure,25,CSIQ,0.4576
AI Infrastructure,26,GHI,0.4516
AI Infrastructure,27,GNSS,0.4503
AI Infrastructure,28,ALOT,0.4436
AI Infrastructure,29,ALLT,0.4435
AI Infrastructure,30,CLNN,0.4395
Clean Energy,1,BLNK,0.6788
Clean Energy,2,CSIQ,0.673
Clean Energy,3,HDSN,0.6558
Clean Energy,4,MRAM,0.6518
Clean Energy,5,CVV,0.647
Clean Energy,6,ASPN,0.6462
Clean Energy,7,CODA,0.642
Clean Energy,8,ASYS,0.6287
Clean Energy,9,DQ,0.6273
Clean Energy,10,UXIN,0.6224
Clean Energy,11,LITB,0.6069
Clean Energy,12,PACB,0.5838
Clean Energy,13,BTBT,0.554
Clean Energy,14,FF,0.5449
Clean Energy,15,OEC,0.5396
Clean Energy,16,PALI,0.5387
Clean Energy,17,CLFD,0.5385
Clean Energy,18,MVST,0.5376
Clean Energy,19,ASA,0.53
Clean Energy,20,JKS,0.5213
Clean Energy,21,AEC,0.5185
Clean Energy,22,METC,0.5177
Clean Energy,23,QMCO,0.5099
Clean Energy,24,VHI,0.5079
Clean Energy,25,OSS,0.5065
Clean Energy,26,KXIN,0.4998
Clean Energy,27,XTIA,0.4917
Clean Energy,28,KOPN,0.4874
Clean Energy,29,SCZM,0.4823
Clean Energy,30,BNED,0.4708
Cybersecurity,1,ELTK,0.8472
Cybersecurity,2,III,0.8026
Cybersecurity,3,BOC,0.7842
Cybersecurity,4,EGAN,0.7718
Cybersecurity,5,MVIS,0.743
Cybersecurity,6,HFBL,0.7127
Cybersecurity,7,RPD,0.6981
