review_id,theme,ticker,model_group,model_rank,rank_score
R0001,AI Infrastructure,MOV,candidate,1,-1.345848200900886
R0002,AI Infrastructure,ALOT,control,288,-2.532938313071217
R0003,AI Infrastructure,FNRN,candidate,2,-1.4499770281061573
R0004,AI Infrastructure,DTIL,control,530,-3.6575637793641285
R0005,AI Infrastructure,MCFT,candidate,3,-1.4984820681028037
R0006,AI Infrastructure,QUAD,control,488,-3.3783558404647063
R0007,AI Infrastructure,BCIC,candidate,4,-1.7700857602214983
R0008,AI Infrastructure,PANL,control,411,-3.013054350666733
R0009,AI Infrastructure,JOUT,candidate,5,-1.7823769022252796
R0010,AI Infrastructure,NL,control,409,-3.010139372767183
R0011,AI Infrastructure,HWBK,candidate,6,-1.7963230281960818
R0012,AI Infrastructure,HCKT,control,564,-3.8442820564507
R0013,AI Infrastructure,OXM,candidate,7,-1.8368785450122065
R0014,AI Infrastructure,RBB,control,286,-2.5288982184381688
R0015,AI Infrastructure,ACCO,candidate,8,-1.8500384800466796
R0016,AI Infrastructure,ASC,control,67,-3.4949645992887133
R0017,AI Infrastructure,CARS,candidate,9,-1.8754849123400488
R0018,AI Infrastructure,BGSF,control,327,-2.671351825326162
R0019,AI Infrastructure,HZO,candidate,10,-1.8919727873547583
R0020,AI Infrastructure,TPVG,control,290,-2.539963970827334
R0021,Agribusiness,LOAN,candidate,1,-1.4234906757949777
R0022,Agribusiness,SMID,control,67,-3.405753858544177
R0023,Agribusiness,PFX,candidate,2,-1.5157559375329852
R0024,Agribusiness,ARQ,control,91,-4.499201709365053
R0025,Agribusiness,JRSH,candidate,3,-1.693701882035936
R0026,Agribusiness,VATE,control,558,-3.844760703860605
R0027,Agribusiness,AVBH,candidate,4,-1.70607699214413
R0028,Agribusiness,NDLS,control,567,-3.9115586491727234
R0029,Agribusiness,JOUT,candidate,5,-1.750597585565128
R0030,Agribusiness,LAB,control,550,-3.777127509452653
R0031,Agribusiness,BOC,candidate,6,-1.7511445753552473
R0032,Agribusiness,SLNG,control,80,-3.995739714048681
R0033,Agribusiness,FPI,candidate,7,-1.78041738922621
R0034,Agribusiness,GHG,control,478,-3.366690291542625
R0035,Agribusiness,RBKB,candidate,8,-1.7953417775335598
R0036,Agribusiness,CLFD,control,40,-2.774693476363151
R0037,Agribusiness,BBDC,candidate,9,-1.8041874152523019
R0038,Agribusiness,PMTS,control,597,-4.097119388953783
R0039,Agribusiness,CGBD,candidate,10,-1.8292619810752297
R0040,Agribusiness,UEIC,control,460,-3.2771045089877835
R0041,Clean Energy,GBLI,candidate,1,-1.0561978139860635
R0042,Clean Energy,TITN,control,479,-1.8619510818557161
R0043,Clean Energy,ELME,candidate,2,-1.1151585492582186
R0044,Clean Energy,TIPT,control,434,-1.7911229311975294
R0045,Clean Energy,KE,candidate,3,-1.1152344902157358
R0046,Clean Energy,GILT,control,83,-1.695592213874273
R0047,Clean Energy,TRC,candidate,4,-1.127795364629745
R0048,Clean Energy,CDXS,control,122,-2.1368187080452623
R0049,Clean Energy,AIV,candidate,5,-1.1449282845748474
R0050,Clean Energy,TLRY,control,577,-2.010097787007542
R0051,Clean Energy,CAPL,candidate,6,-1.1463211810818175
R0052,Clean Energy,CLB,control,104,-1.9442779439333993
R0053,Clean Energy,RELL,candidate,7,-1.1634554123508927
R0054,Clean Energy,GASS,control,92,-1.8031302636118083
R0055,Clean Energy,KRO,candidate,8,-1.1641924907858134
R0056,Clean Energy,HRTX,control,591,-2.0576087527554288
R0057,Clean Energy,LAND,candidate,9,-1.1766457268351835
R0058,Clean Energy,SENS,control,494,-1.8881407124034268
R0059,Clean Energy,GPJA,candidate,10,-1.1795117296783013
R0060,Clean Energy,PDLB,control,456,-1.8230068033061209
R0061,Critical Minerals,GSM,candidate,1,-1.0614933444448913
R0062,Critical Minerals,SIEB,control,104,-1.7215650764080448
R0063,Critical Minerals,GOOS,candidate,2,-1.06171439607364
R0064,Critical Minerals,FEIM,control,95,-1.6190683179946879
R0065,Critical Minerals,KRO,candidate,3,-1.0913771842470923
R0066,Critical Minerals,JKS,control,79,-1.5662025743021797
R0067,Critical Minerals,LND,candidate,4,-1.1659502716877863
R0068,Critical Minerals,FLGT,control,478,-1.7621316988910167
R0069,Critical Minerals,ELME,candidate,5,-1.176255493622198
R0070,Critical Minerals,CAL,control,598,-1.9337270964472952
R0071,Critical Minerals,ONCY,candidate,6,-1.1764914796179757
R0072,Critical Minerals,AFBI,control,312,-1.5543262259892021
R0073,Critical Minerals,LOAN,candidate,7,-1.1872306207558898
R0074,Critical Minerals,KPTI,control,587,-1.9220655431999292
R0075,Critical Minerals,NNDM,candidate,8,-1.193411872687783
R0076,Critical Minerals,AUDC,control,576,-1.89681223251686
R0077,Critical Minerals,MTUS,candidate,9,-1.1941475064313247
R0078,Critical Minerals,WGO,control,375,-1.6492222757646908
R0079,Critical Minerals,KE,candidate,10,-1.220901520714242
R0080,Critical Minerals,TACT,control,507,-1.8018704155656504
R0081,Cybersecurity,CHSCO,candidate,1,-1.1136702319308205
R0082,Cybersecurity,SB,control,93,-2.4670434374160943
R0083,Cybersecurity,TRC,candidate,2,-1.1497208260252882
R0084,Cybersecurity,NGS,control,140,-3.650236132872018
R0085,Cybersecurity,EBF,candidate,3,-1.2099549003793022
R0086,Cybersecurity,CLNE,control,517,-3.505663965457816
R0087,Cybersecurity,FRPH,candidate,4,-1.283464199834465
R0088,Cybersecurity,DIN,control,404,-2.805216777641257
R0089,Cybersecurity,BFS,candidate,5,-1.3276053620916137
R0090,Cybersecurity,SSTK,control,325,-2.3132291823891804
R0091,Cybersecurity,CAPL,candidate,6,-1.3676173085544108
R0092,Cybersecurity,SENS,control,609,-4.198543308637599
R0093,Cybersecurity,FNRN,candidate,7,-1.3800723585469772
R0094,Cybersecurity,ACNT,control,433,-3.011386805719325
R0095,Cybersecurity,MNSB,candidate,8,-1.4760628359385926
R0096,Cybersecurity,PACB,control,585,-4.0003213837012215
