review_id,theme,ticker,relevance_score,reviewer_notes
R0133,Fintech,SITC,,
R0149,Robotics & AI,JOUT,,
R0094,Cybersecurity,ACNT,,
R0181,US Infrastructure,CHSCM,,
R0016,AI Infrastructure,ASC,,
R0116,Defense,OPXS,,
R0173,Timber & Forestry,CSV,,
R0210,Water,FBIO,,
R0076,Critical Minerals,AUDC,,
R0143,Robotics & AI,CHSCN,,
R0101,Defense,ETD,,
R0031,Agribusiness,BOC,,
R0191,US Infrastructure,RBKB,,
R0010,AI Infrastructure,NL,,
R0068,Critical Minerals,FLGT,,
R0219,Water,NECB,,
R0176,Timber & Forestry,VHI,,
R0019,AI Infrastructure,HZO,,
R0198,US Infrastructure,KPTI,,
R0067,Critical Minerals,LND,,
R0190,US Infrastructure,FEIM,,
R0097,Cybersecurity,CPHC,,
R0211,Water,ETD,,
R0026,Agribusiness,VATE,,
R0128,Fintech,JXG,,
R0202,Water,PBYI,,
R0098,Cybersecurity,INVE,,
R0017,AI Infrastructure,CARS,,
R0046,Clean Energy,GILT,,
R0155,Robotics & AI,JRSH,,
R0112,Defense,FRBA,,
R0056,Clean Energy,HRTX,,
R0109,Defense,NPK,,
R0197,US Infrastructure,PCYO,,
R0074,Critical Minerals,KPTI,,
R0110,Defense,PRAA,,
R0083,Cybersecurity,TRC,,
R0139,Fintech,DJCO,,
R0142,Robotics & AI,DTIL,,
R0102,Defense,CIA,,
R0087,Cybersecurity,FRPH,,
R0194,US Infrastructure,CREX,,
R0121,Fintech,CHSCO,,
R0096,Cybersecurity,PACB,,
R0080,Critical Minerals,TACT,,
R0218,Water,MBI,,
R0114,Defense,IMXI,,
R0141,Robotics & AI,CHSCM,,
R0123,Fintech,CNNE,,
R0163,Timber & Forestry,LOAN,,
R0216,Water,PRTH,,
R0039,Agribusiness,CGBD,,
R0025,Agribusiness,JRSH,,
R0186,US Infrastructure,PBYI,,
R0138,Fintech,NUS,,
R0030,Agribusiness,LAB,,
R0020,AI Infrastructure,TPVG,,
R0070,Critical Minerals,CAL,,
R0206,Water,JACK,,
R0061,Critical Minerals,GSM,,
R0069,Critical Minerals,ELME,,
R0006,AI Infrastructure,QUAD,,
R0140,Fintech,DGICB,,
R0057,Clean Energy,LAND,,
R0157,Robotics & AI,BCIC,,
