theme,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15
Robotics & AI,0.01865343310651048,0.0,-0.025276943102324114,-0.06755598646520505,0.04713783067849395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03716254132328566,0.0,0.0
AI Infrastructure,0.0,0.0,-0.055152060145576,-0.0596450859139823,0.0,0.0,0.0,0.0,0.0,0.04566179895977831,-0.047067091800388726,0.0,0.016010195304584973,0.0,0.0
Clean Energy,0.0,0.0,-0.013010193463362794,-0.07898010287389699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0360798845751128,0.0,0.0,0.056506934347509585
Cybersecurity,0.0,0.0,0.0,0.0,0.0,-0.029225587639592737,0.0,0.0,0.0,0.0,-0.11037750341061006,-0.033406583154591454,0.07841659507972337,0.0,0.0
Defense,0.0,0.0,0.0,0.0,0.06719380101742602,0.020866560491958997,-0.01969853773468114,0.0,0.0,0.0,0.0,0.0,0.10118655233900731,0.0,0.023641145580806832
Fintech,0.0,0.0,-0.04002761211774261,0.06451051923675286,0.0,-0.050684161876043354,0.0,0.0,0.0166954691462095,-0.032366987183698286,0.0,0.0,0.01824193208535075,0.0,0.0
US Infrastructure,-0.03546630509922501,0.0,0.0,-0.08346012886443485,0.07227835967618886,0.0,-0.08952032405685831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agribusiness,-0.019662757409358553,0.0,0.0283165060491971,-0.017471995133939783,0.06217481384290833,0.0,0.0,0.0,0.0,-0.018106903447150217,0.0,-0.027748219199258364,0.0,0.0,0.05194549165421769
Critical Minerals,0.0,0.014363402142871226,0.0,-0.020093220597833483,0.024858980370654874,0.0,0.0,0.0,0.0,-0.02139857301878417,0.0,0.08030778370049056,0.0,0.0,0.040234440535091065
Water,-0.07193500153091169,-0.023260558195756984,0.0,-0.026073061893144626,0.06040301307040849,0.0,0.0,0.0,0.0,0.0,0.0,0.04352764032706058,0.0,0.0,0.0
Timber & Forestry,0.0,0.0,0.0,0.0,0.0755824375871818,0.0,0.0,0.0,0.0,-0.07309697600099171,0.0,0.06469625456911023,0.0,0.0,0.0
