rebalance_date,theme,ticker,weight
2021-12-31,AI Infrastructure,FNWD,0.03333333333333333
2021-12-31,AI Infrastructure,BOTJ,0.03333333333333333
2021-12-31,AI Infrastructure,WSBF,0.03333333333333333
2021-12-31,AI Infrastructure,HCKT,0.03333333333333333
2021-12-31,AI Infrastructure,SILC,0.03333333333333333
2021-12-31,AI Infrastructure,OXM,0.03333333333333333
2021-12-31,AI Infrastructure,KRNY,0.03333333333333333
2021-12-31,AI Infrastructure,FEIM,0.03333333333333333
2021-12-31,AI Infrastructure,LAND,0.03333333333333333
2021-12-31,AI Infrastructure,VREX,0.03333333333333333
2021-12-31,AI Infrastructure,JMSB,0.03333333333333333
2021-12-31,AI Infrastructure,CCOI,0.03333333333333333
2021-12-31,AI Infrastructure,TRAK,0.03333333333333333
2021-12-31,AI Infrastructure,ERII,0.03333333333333333
2021-12-31,AI Infrastructure,KVHI,0.03333333333333333
2021-12-31,AI Infrastructure,CTO,0.03333333333333333
2021-12-31,AI Infrastructure,FRD,0.03333333333333333
2021-12-31,AI Infrastructure,TG,0.03333333333333333
2021-12-31,AI Infrastructure,SSTK,0.03333333333333333
2021-12-31,AI Infrastructure,MOMO,0.03333333333333333
2021-12-31,AI Infrastructure,SSBI,0.03333333333333333
2021-12-31,AI Infrastructure,MX,0.03333333333333333
2021-12-31,AI Infrastructure,DLHC,0.03333333333333333
2021-12-31,AI Infrastructure,GPRO,0.03333333333333333
2021-12-31,AI Infrastructure,BOOM,0.03333333333333333
2021-12-31,AI Infrastructure,ARQ,0.03333333333333333
2021-12-31,AI Infrastructure,ASYS,0.03333333333333333
2021-12-31,AI Infrastructure,EGAN,0.03333333333333333
2021-12-31,AI Infrastructure,MITK,0.03333333333333333
2021-12-31,AI Infrastructure,DWSN,0.03333333333333333
2021-12-31,Agribusiness,EBF,0.03333333333333333
2021-12-31,Agribusiness,FRPH,0.03333333333333333
2021-12-31,Agribusiness,CZFS,0.03333333333333333
2021-12-31,Agribusiness,ULH,0.03333333333333333
2021-12-31,Agribusiness,FNLC,0.03333333333333333
2021-12-31,Agribusiness,HURC,0.03333333333333333
2021-12-31,Agribusiness,HWBK,0.03333333333333333
2021-12-31,Agribusiness,LARK,0.03333333333333333
2021-12-31,Agribusiness,MAGN,0.03333333333333333
2021-12-31,Agribusiness,VLGEA,0.03333333333333333
2021-12-31,Agribusiness,SPOK,0.03333333333333333
2021-12-31,Agribusiness,NUS,0.03333333333333333
2021-12-31,Agribusiness,SELF,0.03333333333333333
2021-12-31,Agribusiness,FCCO,0.03333333333333333
