rebalance_date,positions,unique_stocks,overlap_positions,max_themes_per_stock,mean_themes_per_selected_stock
2021-12-31,330,164,166,7,2.0121951219512195
2022-01-28,330,166,164,8,1.9879518072289157
2022-02-25,330,168,162,6,1.9642857142857142
2022-03-25,330,164,166,6,2.0121951219512195
2022-04-29,330,159,171,8,2.0754716981132075
2022-05-27,330,165,165,6,2.0
2022-06-24,330,154,176,6,2.142857142857143
2022-07-29,330,170,160,7,1.9411764705882353
2022-08-26,330,165,165,7,2.0
2022-09-30,330,169,161,7,1.952662721893491
2022-10-28,330,165,165,5,2.0
2022-11-25,330,170,160,6,1.9411764705882353
2022-12-30,330,162,168,7,2.037037037037037
2023-01-27,330,176,154,6,1.875
2023-02-24,330,185,145,5,1.7837837837837838
2023-03-31,330,169,161,7,1.952662721893491
2023-04-28,330,160,170,7,2.0625
2023-05-26,330,172,158,6,1.9186046511627908
2023-06-30,330,173,157,7,1.907514450867052
2023-07-28,330,177,153,6,1.8644067796610169
2023-08-25,330,168,162,7,1.9642857142857142
2023-09-29,330,168,162,6,1.9642857142857142
2023-10-27,330,162,168,7,2.037037037037037
2023-11-24,330,172,158,6,1.9186046511627908
2023-12-29,330,161,169,6,2.049689440993789
2024-01-26,330,178,152,6,1.853932584269663
2024-02-23,330,172,158,7,1.9186046511627908
2024-03-29,330,180,150,5,1.8333333333333333
2024-04-26,330,188,142,5,1.7553191489361701
2024-05-31,330,184,146,6,1.7934782608695652
2024-06-28,330,187,143,5,1.7647058823529411
2024-07-26,330,187,143,6,1.7647058823529411
2024-08-30,330,199,131,6,1.6582914572864322
2024-09-27,330,196,134,6,1.683673469387755
2024-10-25,330,176,154,6,1.875
2024-11-29,330,184,146,8,1.7934782608695652
2024-12-27,330,179,151,8,1.8435754189944134
2025-01-31,330,186,144,6,1.7741935483870968
2025-02-28,330,190,140,5,1.736842105263158
2025-03-28,330,190,140,6,1.736842105263158
2025-04-25,330,199,131,6,1.6582914572864322
2025-05-30,330,193,137,5,1.7098445595854923
2025-06-27,330,200,130,5,1.65
2025-07-25,330,188,142,5,1.7553191489361701
2025-08-29,330,190,140,6,1.736842105263158
2025-09-26,330,180,150,6,1.8333333333333333
2025-10-31,330,181,149,6,1.8232044198895028
2025-11-28,330,183,147,6,1.8032786885245902
2025-12-26,330,190,140,6,1.736842105263158
2026-01-30,330,185,145,8,1.7837837837837838
2026-02-27,330,196,134,5,1.683673469387755
2026-03-27,330,174,156,7,1.896551724137931
2026-04-24,330,186,144,6,1.7741935483870968
2026-05-29,330,178,152,6,1.853932584269663
2026-06-26,330,169,161,7,1.952662721893491
